neuron,formula,iou,weight_entailment,weight_neutral,weight_contradiction
1059,(hypothesis:asleep OR hypothesis:eating OR hypothesis:laying OR hypothesis:moon OR hypothesis:sleeping),0.16872428357601166,-0.0179443359375,-0.015869140625,-0.02587890625
1353,(hypothesis:asleep OR hypothesis:bed OR hypothesis:eating OR hypothesis:sleeping OR hypothesis:swimming),0.1685534566640854,0.004974365234375,-0.00469970703125,0.0026092529296875
1071,(hypothesis:asleep OR hypothesis:couch OR hypothesis:eating OR hypothesis:sleeping OR hypothesis:swimming),0.16543209552764893,-0.00408935546875,-0.010498046875,-0.03466796875
1349,(hypothesis:black OR hypothesis:shirt OR hypothesis:sits OR hypothesis:wearing OR premise:kneels),0.1650671809911728,0.0284423828125,0.0118408203125,0.00897216796875
495,(hypothesis:hair OR hypothesis:shirt OR hypothesis:wearing OR premise:coat OR premise:lone),0.16165803372859955,0.036865234375,-0.02587890625,-0.0181884765625
1109,(hypothesis:hair OR hypothesis:married OR hypothesis:wearing OR premise:ears OR premise:wheeled),0.1592210829257965,0.0303955078125,0.02197265625,0.014892578125
639,(hypothesis:asleep OR hypothesis:couch OR hypothesis:nap OR hypothesis:sleeping OR hypothesis:swimming),0.1525658816099167,-0.0263671875,0.0155029296875,-0.03466796875
945,((NOT premise:wearing) AND (hypothesis:beach OR hypothesis:outdoors OR hypothesis:outside OR hypothesis:present)),0.1525423675775528,-0.00592041015625,0.0052490234375,-0.0277099609375
2042,(hypothesis:asleep OR hypothesis:eating OR hypothesis:nap OR hypothesis:sleeping OR hypothesis:swimming),0.1500615030527115,0.000835418701171875,0.000335693359375,-0.0283203125
1454,(hypothesis:instrument OR hypothesis:shirt OR hypothesis:wearing OR hypothesis:wears OR premise:brightly),0.14814814925193787,0.005767822265625,0.022705078125,0.0299072265625
207,(hypothesis:asleep OR hypothesis:couch OR hypothesis:eating OR hypothesis:sits OR hypothesis:sleeping),0.14673243463039398,0.02734375,-0.0015716552734375,-0.0022430419921875
1574,(hypothesis:parking OR (hypothesis:sitting AND (NOT premise:sitting)) OR (hypothesis:sleeping AND (NOT premise:sitting)) OR (hypothesis:swimming AND (NOT premise:sitting))),0.14217443764209747,-0.03173828125,-0.01318359375,-0.0294189453125
6,(hypothesis:asleep OR hypothesis:bed OR hypothesis:couch OR hypothesis:sleeping OR hypothesis:swimming),0.14171123504638672,0.0294189453125,0.02685546875,-0.010986328125
196,(hypothesis:instrument OR hypothesis:tall OR hypothesis:wearing OR premise:eyes OR premise:scarf),0.14146868884563446,0.0286865234375,-0.0208740234375,0.005859375
1690,(hypothesis:hair OR (hypothesis:wearing AND (NOT hypothesis:people)) OR (premise:hair AND (NOT hypothesis:people)) OR (premise:shirt AND (NOT hypothesis:people))),0.1411290317773819,-0.0225830078125,-0.01153564453125,0.00147247314453125
